total_de_imagens;total_de_disco;uso_de_disco_da_imagem;uso_de_disco_do_sistema;tamanho_medio_dos_arquivos;nome_arquivo;tamanho;data_geracao;anos_no_sistema
2;925.05;0.0;35.88;0.65;gato-siames.jpg;1.27;2025-11-15;0.0
2;925.05;0.0;35.88;0.65;vida-de-gato.jpg;0.03;2025-11-15;0.0
