Nome da Maquina;Data da Coleta;Uso de CPU;Load1;Load5;Load15;Uso de RAM;RAM total (bytes);RAM usada (bytes);Uso de Swap;Swap total (bytes);Swap usada (bytes);Uso de Disco;Disco total (bytes);Disco usado (bytes);Disco livre (bytes);Net bytes enviados;Net bytes recebidos;Net Down (Mbps);Net Up (Mbps);Pacotes IN (intervalo);Pacotes OUT (intervalo);Conexões TCP ESTABLISHED;Latência (ms);Perda de Pacotes (%);Freq CPU (MHz);Temp CPU (C);Uptime (s);Processo;PID;Usuario;CPU proc (%);MEM proc (%);Threads;RSS (bytes);IO Leitura (bytes);IO Escrita (bytes);Quando foi iniciado;Status
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1276;;0.0;0.19526635240710685;14;16519168;75800;163840;2025-11-13 17:41:42;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;fontdrvhost.exe;1308;;0.0;4.841714664198038e-05;5;4096;0;0;2025-11-13 17:41:42;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;fontdrvhost.exe;1316;;0.0;4.841714664198038e-05;5;4096;0;0;2025-11-13 17:41:42;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;WUDFHost.exe;1336;;0.0;9.683429328396076e-05;14;8192;5487792;2448;2025-11-13 17:41:42;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1444;;0.0;0.15537062357411502;11;13144064;18944;0;2025-11-13 17:41:42;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;WUDFHost.exe;1508;;0.0;4.841714664198038e-05;5;4096;0;0;2025-11-13 17:41:42;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1568;;0.0;0.037620122940818755;5;3182592;0;0;2025-11-13 17:41:42;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;dwm.exe;1636;;0.0;0.38869285324181846;16;32882688;6736900;0;2025-11-13 17:41:42;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1704;;0.0;0.08473000662346566;10;7168000;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1776;;0.0;0.018640601457162443;5;1576960;40395;0;2025-11-13 17:41:43;running
